Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	67	5445	0	Jim Smith	State attorney general	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.2	0.2	1	0.2	0	1	0	0	0.5	0.100	0	0	0.5	0.100	-1.000	0.800	0.160	0.200	1	0.040																			
1980D	1	1	68	3599	0	Ralph Turlington	State education commissioner	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100																									
1980D	1	1	69	355	0	Bill Gunter	State insurance commissioner	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.2	0.2	0	0.0	0	1	0	0	0.5	0.100	0	0	0.5	0.100	-0.775	0.575	0.115	0.144	1	0.029																			
1980D	1	1	70	5905	0	Wayne Mixson	Lieutenant governor	FL	South	8/30/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	1	0	0	0.5	0.200	0	0	0.5	0.200	-1.000	0.800	0.320	0.200	1	0.080																			
1980D	1	1	71	4495	0	Unknown	County party leaders from Westchester	NY	Northeast	9/3/79	3	2	2	1	Kennedy	0	4	1.5	0.2	0.3	0	0.0	0	1	0	0	0.5	0.150	0	0	0.5	0.150																									
1980D	1	1	72	5208	0	Daniel Inouye	U.S. Senator	HI	Own	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	1	0.6	0	0	0	0	1	0.600	0	1	1	0.600	0.053	0.253	0.152	0.253	1	0.152																			
1980D	1	1	73	1379	0	Ernest Hollings	U.S. Senator	SC	South	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	0	0.0	0	1	0	0	0.5	0.300	0	0	0.5	0.300	-0.370	0.170	0.102	0.042	1	0.025																			
1980D	1	1	74	5322	0	Gaylord Nelson	U.S. Senator	WI	Midwest/Plains	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	1	0.6	0	0	0	0	1	0.600	0	1	1	0.600	0.528	0.728	0.437	0.728	1	0.437																			
1980D	1	1	75	1762	0	Herman Talmadge	U.S. Senator	GA	South	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	0	0.0	1	1	0	0	0	0.000	0	0	0.5	0.300	-0.725	0.525	0.315	0.000	0	0.000																			
1980D	1	1	76	5861	0	Tom Eagleton	U.S. Senator	MO	Plains	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	1	0.6	0	0	0	0	1	0.600	0	1	1	0.600	0.143	0.343	0.206	0.343	1	0.206																			
1980D	1	1	77	4908	0	Warren Magnuson	U.S. Senator	WA	West  	9/3/79	3	2	2	1	Carter	1	1	1	0.6	0.6	0	0.0	0	0	0	1	1	0.600	0	1	1	0.600	-0.058	0.142	0.085	0.142	1	0.085																			
1980D	1	1	78	1227	0	Draft-Kennedy Organization	Candidate-centered organization	DC	Own	9/6/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	0	0	0.5	0.050																									
1980D	1	1	79	3320	0	Nicholas Carbone	"Deputy mayor of Hartford, strongman of city council"	CT	Northeast	9/9/79	3	2	2	1	Carter	1	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	1	1	0.100																									
